E017	671	6.36115
E002	234,235	8.19849,7.54547
E008	234,235	8.19849,7.54547
E001	234,235	8.19849,7.54547
E015	234,235	8.19849,7.54547
E014	234,235	8.19849,7.54547
E016	234,235	8.19849,7.54547
E003	234,235	8.19849,7.54547
E024	234,235	8.19849,7.54547
E007	332,333	3.93554,0.768404
E009	332,333	3.93554,0.768404
E010	642,643,644	6.22072,7.27064,2.40708
E013	721	0.792488
E012	756,757	4.70422,8.06869
E011	756,757	4.70422,8.06869
E006	718	2.49983
E062	355,356,357	4.83634,4.63576,9.36965
E034	135,136,137,104,105,106	4.96015,3.73915,6.90491,5.08363,2.54446,4.86378
E045	126,123	3.95226,8.8254
E033	135,136,137,104,105,106	4.96015,3.73915,6.90491,5.08363,2.54446,4.86378
E044	112,113,114,111,115,116	3.39437,4.51398,3.69271,8.97581,7.80693,7.6888
E039	120,121,122	6.7437,3.73775,0.956613
E041	120,121,122	6.7437,3.73775,0.956613
E042	120,121,122	6.7437,3.73775,0.956613
E040	126,123	3.95226,8.8254
E037	126,123	3.95226,8.8254
E048	135,136,137	4.96015,3.73915,6.90491
E038	120,121,122	6.7437,3.73775,0.956613
E047	135,136,137	4.96015,3.73915,6.90491
E029	45,46,47	1.80507,4.98643,4.60806
E031	98,99,100	1.75681,1.70289,2.61593
E035	103	3.79674
E051	103	3.79674
E050	103	3.79674
E036	103	3.79674
E032	98,99,100	1.75681,1.70289,2.61593
E046	329,330,331	5.07535,4.63763,7.79162
E030	337,338,339	1.3351,0.334268,2.41304
E026	698,699,700	5.27975,3.97507,1.12383
E049	141,142,143	2.76672,1.99466,6.90386
E025	303,304	0.279598,1.18301
E023	8,9	5.50423,4.6707
E052	408,409,410	9.30924,6.89576,11.7334
E055	832	2.05884
E056	832	2.05884
E059	832	2.05884
E061	832	2.05884
E057	832	2.05884
E058	832	2.05884
E028	284,285,286	11.1659,3.44075,2.60836
E027	284,285,286	11.1659,3.44075,2.60836
E054	30,31,32	3.49362,7.30597,7.96542
E053	30,31,32	3.49362,7.30597,7.96542
E112	877	15.4825
E093	878	16.1096
E071	640,641	1.2575,7.34196
E074	856	6.97644
E068	541,542	1.129,8.29212
E069	785,802,682	14.8066,15.2039,1.12858
E072	858	14.7077
E067	684,683	7.9878,8.19495
E073	606	15.7951
E070	531	0.500967
E082	531	0.500967
E081	531	0.500967
E063	505	6.82556
E100	830	9.74063
E108	830	9.74063
E107	830	9.74063
E089	831	0.862207
E090	831	0.862207
E083	632	14.8846
E104	654	1.3992
E095	655	1.51036
E105	631	4.48086
E065	517	5.01887
E078	842	4.07916
E076	842	4.07916
E103	842	4.07916
E111	842	4.07916
E092	854	1.36923
E085	840	4.57541
E084	571	1.63658
E109	839	12.9577
E106	569,570	1.00476,11.3049
E075	262,763,839	8.13085,3.26535,12.9577
E101	808	1.0951
E102	808	1.0951
E110	262,763,839	8.13085,3.26535,12.9577
E077	582,583	0.82651,3.2672
E079	601	10.3104
E094	611,612	6.94009,8.73083
E099	509,510,511	4.18858,3.3674,3.25562
E086	650	19.0641
E088	671	6.36115
E097	779	13.296
E087	781,352	1.27957,11.5097
E080	506	8.23991
E091	798	11.2737
E066	664	6.82351
E098	781	1.27957
E096	670	9.3644
E113	848,849	10.6401,15.514
E114	651,668,835	9.46967,5.84499,8.40901
E115	507	8.97316
E116	33,34,35	13.0867,12.1802,12.7047
E117	549,547,548	12.9954,9.17949,7.17238
E118	258,259,260	0.788924,1.01747,1.69265
E119	284,285,286	11.1659,3.44075,2.60836
E120	325,326,327	6.90697,4.86674,5.58469
E121	411	11.2319
E122	173,174,175	11.1982,4.45376,8.88009
E123	563,560,561,562	5.26999,4.43271,5.10041,5.95871
E124	45,46,47	1.80507,4.98643,4.60806
E125	27,28,29,30,31,32	8.12208,4.90194,3.19025,3.49362,7.30597,7.96542
E126	196,197,198,199,200,201	3.20348,1.75294,6.69126,8.51539,6.17769,7.11993
E127	264,265,266	9.11159,0.889665,9.94738
E128	670	9.3644
E129	350,351	1.50551,5.4239
