eid	meanPRF
E017	1.87371958513109
E002	2.47569104553769
E008	2.13046818192863
E001	1.98178018056795
E015	2.04457915033791
E014	2.08107310884408
E016	2.0468507068947
E003	2.0919241871492
E024	1.973635684558
E007	2.04067054854195
E009	1.9327600515115
E010	1.89429325803305
E013	1.90765876407107
E012	2.11371393413887
E011	2.08296046041008
E006	2.05306712115269
E062	2.08203056325953
E034	1.92265589692146
E045	2.14414421831991
E033	2.16049822451934
E044	2.09603381570407
E039	1.96738157734882
E041	1.99889317611449
E042	2.00422702548847
E040	2.05646186100919
E037	1.99916991853269
E048	2.02772406635403
E038	2.04424522459917
E047	1.95483411144395
E029	1.85086683027238
E031	2.31495817988066
E035	2.02968142357797
E051	1.85158986570216
E050	1.92835848395125
E036	1.90851379251695
E032	1.78624520030129
E046	1.84212003846007
E030	1.70927279574857
E026	1.9113927751995
E049	1.95017075160279
E025	1.95467437025107
E023	1.96527831483802
E052	1.8515716041112
E055	1.95605145943469
E056	1.90056945548455
E059	1.91487856961863
E061	1.9052973296632
E057	1.83727222301287
E058	1.94741517784311
E028	2.02316825933472
E027	2.07982698522342
E054	1.82762517746129
E053	1.85459965080478
E112	2.02628626371528
E093	1.88283816571847
E071	2.00540635771336
E074	2.00023739026905
E068	1.99679201363458
E069	2.02904926221229
E072	1.9570900826475
E067	1.98116820032559
E073	2.01747953597995
E070	1.94358576283188
E082	1.84970334373514
E081	1.6597655220052
E063	1.95904458313519
E100	1.96356378366558
E108	1.96248203519027
E107	1.85327043191214
E089	1.82744114533255
E090	1.84600528305292
E083	1.73215337861995
E104	1.79886334179131
E095	2.03806337927946
E105	2.04113055249904
E065	1.96147138924854
E078	2.02144628259821
E076	1.8835145631068
E103	1.85787171414588
E111	1.94186453932959
E092	1.90707844049276
E085	1.94602448531887
E084	1.84493342034288
E109	2.04512719592073
E106	1.98986412279453
E075	2.09873431658747
E101	1.76168707109906
E102	1.79621149567324
E110	1.88540713177433
E077	1.80540473322665
E079	1.84166820900341
E094	1.97215052882596
E099	1.86703460017842
E086	1.79468734184685
E088	1.93493293785644
E097	2.08824402706089
E087	2.06508042250539
E080	1.98759497866993
E091	1.88660218472635
E066	1.99564240118574
E098	1.81640806550708
E096	2.01672663498686
E113	1.96993474978392
E114	1.97024347168082
E115	1.85430811792107
E116	1.80045440503174
E117	1.80569993856108
E118	1.81945655712952
E119	1.89162135575218
E120	1.77931075944754
E121	1.89732824697752
E122	1.78859353815288
E123	1.86991392997352
E124	2.00694665227307
E125	1.87142511567526
E126	1.80792100759829
E127	1.80826057391588
E128	1.80398587599057
E129	1.88325545747698
